Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
76,ACABTC,43547484.85219904,2025-02-22 17:51:00,5.7057e-07,0.024846888432115577,2025-02-22 23:04:00,5.694300000000001e-07,0.024797244299387705,-0.09928826546300798,-0.003996003996003761,Long,Closed,76
77,ACABTC,54210926.31274707,2025-02-22 23:52:00,5.805799999999999e-07,0.031473779598652385,2025-02-23 02:54:00,5.694300000000001e-07,0.030869327770267567,-0.6667949357560398,-0.021185728065038024,Long,Closed,77
78,ACABTC,41918083.65894209,2025-02-23 08:51:00,5.805799999999999e-07,0.02433680101070479,2025-02-23 11:58:00,5.794199999999999e-07,0.024288176033664222,-0.0972499540887382,-0.003996003996003691,Long,Closed,78
79,ACABTC,49340912.077224605,2025-02-23 19:04:00,5.7057e-07,0.028152444203897176,2025-02-23 22:30:00,5.4945e-07,0.02711036414083106,-1.0973428714157116,-0.03897860034702122,Long,Closed,79
80,ACABTC,44316012.081589974,2025-02-23 23:57:00,5.7057e-07,0.025285387013390448,2025-02-24 01:25:00,5.5944e-07,0.024792149798924697,-0.5433147512804106,-0.021487302171512568,Long,Closed,80
81,ACABTC,52756553.36835953,2025-02-24 06:26:00,5.5055e-07,0.02904512045694574,2025-02-24 08:32:00,5.3946e-07,0.028460050280095236,-0.6425753475921422,-0.02212334937789447,Long,Closed,81
82,ACABTC,62204518.666067995,2025-02-24 16:28:00,5.4054e-07,0.03362403051975349,2025-02-24 19:52:00,5.2947e-07,0.03293542649812302,-0.7551634786512504,-0.02245904095904091,Long,Closed,82
83,ACABTC,44688227.23239824,2025-02-25 05:54:00,4.904899999999999e-07,0.021919128575216718,2025-02-25 07:25:00,4.795199999999999e-07,0.021428898722479602,-0.5335778800371072,-0.024343024322616154,Long,Closed,83
84,ACABTC,79115250.39811885,2025-02-25 08:00:00,4.904899999999999e-07,0.03880523916777179,2025-02-25 15:16:00,5.0949e-07,0.04030842892533757,1.4240760894711553,0.036698036657220545,Long,Closed,84
85,ACABTC,37363162.10994473,2025-02-25 16:06:00,5.2052e-07,0.019448273141467354,2025-02-25 20:53:00,5.2947e-07,0.019782673442352437,0.29516935430018637,0.015177149773303717,Long,Closed,85
86,ACABTC,67322589.48418897,2025-02-26 00:24:00,5.4054e-07,0.03639055251977652,2025-02-26 06:10:00,5.2947e-07,0.03564529145419353,-0.8172969095639419,-0.022459040959040766,Long,Closed,86
87,ACABTC,56031743.29141276,2025-02-26 08:06:00,5.4054e-07,0.03028739851873752,2025-02-26 09:24:00,5.2947e-07,0.029667127120504316,-0.680225923875181,-0.022459040959040864,Long,Closed,87
88,ACABTC,47620013.27785471,2025-02-26 10:20:00,5.4054e-07,0.025740521977208886,2025-02-26 11:43:00,5.2947e-07,0.025213368430225733,-0.5781074373932887,-0.02245904095904095,Long,Closed,88
89,ACABTC,39370477.676995486,2025-02-26 14:51:00,5.305299999999999e-07,0.020887219521974032,2025-02-26 20:35:00,5.4945e-07,0.02163210895962517,0.7023701091671595,0.033626788306033904,Long,Closed,89
90,ACABTC,31958370.364144225,2025-02-26 21:08:00,5.605599999999999e-07,0.017914584091322183,2025-02-27 00:34:00,5.4945e-07,0.017559526596579045,-0.39053160543354165,-0.021799646781789396,Long,Closed,90
91,ACABTC,39801938.56616421,2025-02-27 03:04:00,5.5055e-07,0.021912957277599787,2025-02-27 08:52:00,5.4945e-07,0.021869175145178926,-0.08756426484555922,-0.003996003996003903,Long,Closed,91
